id	population	species	state	country	sex	longitude	latitude
angeles-22-001	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-002	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-003	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-004	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-005	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-006	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-007	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-008	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-009	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-010	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-011	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-012	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-013	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-014	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-015	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-016	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-017	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-018	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-019	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-020	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-021	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-022	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-023	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-024	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-025	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-026	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-027	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-028	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-029	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-030	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-031	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-032	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-033	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-034	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-035	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-036	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
angeles-22-037	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-038	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-039	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433
angeles-22-040	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433
arenas-22-001	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-002	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-003	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-004	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-005	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-006	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-007	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-008	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-009	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-010	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-011	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-012	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-013	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-014	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-015	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-016	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-017	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-018	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543
arenas-22-019	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-020	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-021	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-022	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-023	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-024	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-025	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-026	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
