id	population	species	state	country	sex	longitude	latitude	read_1	read_2
W6-54695-101	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-101_98b018dc-1e1e-49c2-acd6-b85642963457_S25_L007_R1_001.fastq.gz	20240401/L7/W6-54695-101_98b018dc-1e1e-49c2-acd6-b85642963457_S25_L007_R2_001.fastq.gz
W6-54695-102	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-102_f46a4749-ec40-4c5f-9379-9c1a87ab0dfe_S35_L007_R1_001.fastq.gz	20240401/L7/W6-54695-102_f46a4749-ec40-4c5f-9379-9c1a87ab0dfe_S35_L007_R2_001.fastq.gz
W6-54695-103	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-103_53aaf939-ae82-4bfe-9cf5-90812e3c58a5_S15_L007_R1_001.fastq.gz	20240401/L7/W6-54695-103_53aaf939-ae82-4bfe-9cf5-90812e3c58a5_S15_L007_R2_001.fastq.gz
W6-54695-104	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-104_2272e023-439e-4e60-8421-5c280dea448a_S28_L007_R1_001.fastq.gz	20240401/L7/W6-54695-104_2272e023-439e-4e60-8421-5c280dea448a_S28_L007_R2_001.fastq.gz
W6-54695-105	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-105_0ad4e7eb-1c22-4e4a-b31b-39b7abe9350c_S32_L007_R1_001.fastq.gz	20240401/L7/W6-54695-105_0ad4e7eb-1c22-4e4a-b31b-39b7abe9350c_S32_L007_R2_001.fastq.gz
W6-54695-106	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-106_4d59a94e-cb39-4924-a061-4c9c188c1c36_S24_L007_R1_001.fastq.gz	20240401/L7/W6-54695-106_4d59a94e-cb39-4924-a061-4c9c188c1c36_S24_L007_R2_001.fastq.gz
W6-54695-107	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-107_c0694574-b965-4ca3-ac22-fb0088606528_S36_L007_R1_001.fastq.gz	20240401/L7/W6-54695-107_c0694574-b965-4ca3-ac22-fb0088606528_S36_L007_R2_001.fastq.gz
W6-54695-108	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-108_51efd5cf-e820-44ce-b16f-e906a05ee075_S4_L007_R1_001.fastq.gz	20240401/L7/W6-54695-108_51efd5cf-e820-44ce-b16f-e906a05ee075_S4_L007_R2_001.fastq.gz
W6-54695-109	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-109_ea76f6d6-579f-4715-a9fa-07cebed30004_S13_L007_R1_001.fastq.gz	20240401/L7/W6-54695-109_ea76f6d6-579f-4715-a9fa-07cebed30004_S13_L007_R2_001.fastq.gz
W6-54695-110	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-110_90efab93-5b0a-4b2f-b318-686b56ec9657_S37_L007_R1_001.fastq.gz	20240401/L7/W6-54695-110_90efab93-5b0a-4b2f-b318-686b56ec9657_S37_L007_R2_001.fastq.gz
W6-54695-111	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-111_0bb3161d-9e18-4731-9f39-861d31459e49_S6_L007_R1_001.fastq.gz	20240401/L7/W6-54695-111_0bb3161d-9e18-4731-9f39-861d31459e49_S6_L007_R2_001.fastq.gz
W6-54695-112	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-112_aafe2682-3ec7-479d-bc6e-78ab875c02cf_S2_L007_R1_001.fastq.gz	20240401/L7/W6-54695-112_aafe2682-3ec7-479d-bc6e-78ab875c02cf_S2_L007_R2_001.fastq.gz
W6-54695-113	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-113_28a8e633-a1f8-449e-9f39-59bbbd3e53a3_S3_L007_R1_001.fastq.gz	20240401/L7/W6-54695-113_28a8e633-a1f8-449e-9f39-59bbbd3e53a3_S3_L007_R2_001.fastq.gz
W6-54695-114	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-114_f8809cae-f066-43f4-96dc-2d91a40dc230_S22_L007_R1_001.fastq.gz	20240401/L7/W6-54695-114_f8809cae-f066-43f4-96dc-2d91a40dc230_S22_L007_R2_001.fastq.gz
W6-54695-115	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-115_30b35c86-7c54-4385-87c3-266c3d797d18_S41_L007_R1_001.fastq.gz	20240401/L7/W6-54695-115_30b35c86-7c54-4385-87c3-266c3d797d18_S41_L007_R2_001.fastq.gz
W6-54695-116	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-116_9fa33017-ee95-4d0b-8635-178aaee31b00_S11_L007_R1_001.fastq.gz	20240401/L7/W6-54695-116_9fa33017-ee95-4d0b-8635-178aaee31b00_S11_L007_R2_001.fastq.gz
W6-54695-117	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-117_658a9e49-4175-4c13-bbad-f88b6169b439_S34_L007_R1_001.fastq.gz	20240401/L7/W6-54695-117_658a9e49-4175-4c13-bbad-f88b6169b439_S34_L007_R2_001.fastq.gz
W6-54695-118	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-118_2637023c-9a56-40dd-876e-a212f690c8c9_S17_L007_R1_001.fastq.gz	20240401/L7/W6-54695-118_2637023c-9a56-40dd-876e-a212f690c8c9_S17_L007_R2_001.fastq.gz
W6-54695-119	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-119_b4b127ef-6f5c-4453-bd5d-7cbd1f5430aa_S30_L007_R1_001.fastq.gz	20240401/L7/W6-54695-119_b4b127ef-6f5c-4453-bd5d-7cbd1f5430aa_S30_L007_R2_001.fastq.gz
W6-54695-120	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-120_8ed7b5b8-9177-4112-bec6-70a22a7a37a4_S33_L007_R1_001.fastq.gz	20240401/L7/W6-54695-120_8ed7b5b8-9177-4112-bec6-70a22a7a37a4_S33_L007_R2_001.fastq.gz
W6-54695-121	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-121_3c0de9de-db7f-434d-89f0-431f3a54c3dd_S31_L007_R1_001.fastq.gz	20240401/L7/W6-54695-121_3c0de9de-db7f-434d-89f0-431f3a54c3dd_S31_L007_R2_001.fastq.gz
W6-54695-122	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-122_6a736dfa-9860-460a-b8f4-3aac2c769028_S40_L007_R1_001.fastq.gz	20240401/L7/W6-54695-122_6a736dfa-9860-460a-b8f4-3aac2c769028_S40_L007_R2_001.fastq.gz
W6-54695-123	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-123_18369015-81d8-4a53-8be8-bda02dc63201_S12_L007_R1_001.fastq.gz	20240401/L7/W6-54695-123_18369015-81d8-4a53-8be8-bda02dc63201_S12_L007_R2_001.fastq.gz
